Nuclide,Element,Z,N,A,QB-,QB1n,QB2n,Half-Life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-Life-old
93Kr,Kr,36,57,93,8483.9,2565.1,0,1.284,1.99,0,1.99,0,1.99(20),,8483.9(82),2565.1(66),,,1.284(12)
94Kr,Kr,36,58,94,7215,3201,0,0.211,1.11,0,1.11,0,1.11(7),,7215(12),3201(14),,,0.211(5)
95Kr,Kr,36,59,95,9733,4333,318,0.114,2.87,0.001,2.87,-1,2.87(18),-1,9733(28),4333(19),318(20),,0.114(3)
96Kr,Kr,36,60,96,8275,4741,0,0.080,3.7,0,3.7,0,3.7(4),,8275(21),4741(29),,,0.080(7)
97Kr,Kr,36,61,97,11100,5860,2330,0.0621,6.7,-1,6.7,-1,6.7(6),-1,11100(130),5860(130),2330(130),,0.0621(40)
98Kr,Kr,36,62,98,10060,6140,900,0.043,7,0.001,7,-1,7.0(10),-1,10060(300)\#,6140(300)\#,900(300)\#,,0.043(4)
99Kr,Kr,36,63,99,12360,7540,3620,0.037,11,-1,11,-1,11(7),-1,12360(400)\#,7540(400)\#,3620(400)\#,,0.037(11)
100Kr,Kr,36,64,100,11200,8000,3170,0.007,-1,-1,-1,-1,-1,-1,11200(400)\#,8000(400)\#,3170(400)\#,,0.007($^{+11}_{ -3}$)
101Kr,Kr,36,65,101,13720,9050,5850,-1,-1,-1,-1,-1,-1,-1,13720(540)\#,9050(500)\#,5850(500)\#,1030(500)\#,-1
91Rb,Rb,37,54,91,5906.9,131.8,0,57.9,0.001,0,-1,0,-$^?$,,5906.9(89),131.8(81),,,57.9(2)
92Rb,Rb,37,55,92,8094.9,808.2,0,4.50,0.001,0,0.0109,0,0.0109(7),,8094.9(64),808.2(76),,,4.50(2)
93Rb,Rb,37,56,93,7465.9,2176.1,0,5.85,1.6,0,1.6,0,1.60(10),,7465.9(89),2176.1(86),,,5.85(3)
94Rb,Rb,37,57,94,10282.9,3451.7,0,2.704,10.39,0,10.39,0,10.39(22),,10282.9(26),3451.7(78),,,2.704(15)
95Rb,Rb,37,58,95,9228,4883,0,0.378,8.8,0,8.8,0,8.8(4),,9228(20),4883(20),,,0.378(2)
96Rb,Rb,37,59,96,11569.8,5693.9,1348.7,0.2016,14.1,-1,14.1,-1,14.1(8),-1,11569.8(91),5693.9(67),1348.7(37),,0.2016(10)
97Rb,Rb,37,60,97,10062.3,6333.7,457.8,0.1690,24.9,0.001,24.9,-1,24.9(15),-1,10062.3(39),6333.7(87),457.8(61),,0.1690(10)
98Rb,Rb,37,61,98,12054,6141,2412,0.115,14.3,0.054,14.3,0.054,14.3(9)$^m$,0.054(7)$^m$,12054(16),6141(16),2412(18),,0.115(6)
99Rb,Rb,37,62,99,11400.3,7230.6,1317.7,0.0578,19.1,-1,19.1,-1,19.1(23),-1,11400.3(62),7230.6(52),1317.7(53),,0.0578(9)
100Rb,Rb,37,63,100,13574,8203,4033,0.051,5.6,0.15,5.6,0.15,5.6(12),0.15(5),13574(21),8203(20),4033(20),,0.051(2)
101Rb,Rb,37,64,101,12480,8910,3530,0.031,28,-1,28,-1,28(5),-1,12480(200)\#,8910(200)\#,3530(200)\#,,0.031($^{+5}_{-4}$)
102Rb,Rb,37,65,102,14450,9550,5970,0.037,18,-1,18,-1,18(8),-1,14450(310)\#,9550(300)\#,5970(300)\#,600(300)\#,0.037(5)
103Rb,Rb,37,66,103,13810,10480,5570,0.023,-1,-1,-1,-1,-1,-1,13810(450)\#,10480(410)\#,5570(400)\#,2000(400)\#,0.023($^{+13}_{-9}$)
104Rb,Rb,37,67,104,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
96Sr,Sr,38,58,96,5411.7,213,0,1.069,0.001,0,-1,0,-1,,5411.7(97),213(11),,,1.069(13)
97Sr,Sr,38,59,97,7540.0,1683.1,0,0.429,0.03,0,0.03,0,0.03(2),,7540.0(75),1683.1(70),,,0.429(5)
98Sr,Sr,38,60,98,5871.7,1627.0,0,0.653,0.23,0,0.23,0,0.23(3),,5871.7(86),1627.0(75),,,0.653(2)
99Sr,Sr,38,61,99,8128.4,1702.1,0,0.269,0.096,0,0.096,0,0.096(16),,8128.4(81),1702.1(92),,,0.269(2)
100Sr,Sr,38,62,100,7506,2757.6,0,0.2007,1.11,0,1.11,0,1.11(21),,7506(13),2757.6(98),,,0.2007(13)
101Sr,Sr,38,63,101,9736,3931,0,0.115,2.52,0,2.52,0,2.52(25),,9736(11),3931(14),,,0.115(1)
102Sr,Sr,38,64,102,9014,4830,0,0.072,5.5,0,5.5,0,5.5(20),,9014(67),4830(67),,,0.072(8)
103Sr,Sr,38,65,103,11040,5680,1500,0.053,-1,-1,-1,-1,-1,-1,11040(200)\#,5680(200)\#,1500(200)\#,,0.053(10)
104Sr,Sr,38,66,104,9960,6280,920,0.053,-1,0.001,-1,-1,-1,-1,9960(500)\#,6280(300)\#,920(300)\#,,0.053(5)
105Sr,Sr,38,67,105,12700,7380,3700,0.039,-1,-1,-1,-1,-1,-1,12700(1400)\#,7380(640)\#,3700(500)\#,,0.039(5)
106Sr,Sr,38,68,106,11260,8400,3130,0.020,-1,-1,-1,-1,-1,-1,11260(780)\#,8400(1500)\#,3130(720)\#,-550(600)\#,0.020($^{+8}_{-7}$)
107Sr,Sr,38,69,107,13470,9080,6200,-1,-1,-1,-1,-1,-1,-1,13470(860)\#,9080(860)\#,6200(1500)\#,950(810)\#,-1
97Y,Y,39,58,97,6821.2,1246.1,0,3.74,0.058,0,0.058,0,0.058(10),,6821.2(67),1246.1(67),,,3.74(5)
98Y,Y,39,59,98,8992,2576.6,0,0.548,0.33,0,0.33,0,0.33(3),,8992(12),2576.6(79),,,0.548(2)
99Y,Y,39,60,99,6971,2566,0,1.478,1.97,0,1.97,0,1.97(30),,6971(12),2566(11),,,1.478(7)
100Y,Y,39,61,100,9050,2222,0,0.732,1.02,0,1.02,0,1.02(6)$^m$,,9050(14),2222(15),,,0.732(5)
101Y,Y,39,62,101,8105,3245,0,0.432,1.98,0,1.98,0,1.98(20),,8105(11),3245(11),,,0.432(12)
102Y,Y,39,63,102,10414.5,3921.5,0,0.30,4,0,4,0,4.0(15),,10414.5(97),3921.5(93),,,0.30(1)
103Y,Y,39,64,103,9358,5059,0,0.236,8.1,0,8.1,0,8.1(20),,9358(15),5059(14),,,0.236(16)
104Y,Y,39,65,104,11660,5680,1380,0.212,34,-1,34,-1,34(10),-1,11660(400)\#,5680(400)\#,1380(400)\#,,0.212(20)
105Y,Y,39,66,105,10200,6400,400,0.107,82,0.001,82,-1,$\leq$82,-1,10200(1300),6400(1300),400(1300),,0.107($^{+6}_{-9}$)
106Y,Y,39,67,106,12500,7340,3530,0.082,-1,-1,-1,-1,-1,-1,12500(660)\#,7340(500)\#,3530(500)\#,,0.082($^{+10}_{-5}$)
107Y,Y,39,68,107,12000,8110,2960,0.0335,-1,-1,-1,-1,-1,-1,12000(1200)\#,8110(660)\#,2960(500)\#,,0.0335(30)
108Y,Y,39,69,108,14060,9000,5110,0.030,-1,-1,-1,-1,-1,-1,14060(720)\#,9000(1300)\#,5110(740)\#,-50(600)\#,0.030(5)
109Y,Y,39,70,109,12990,10080,5000,0.025,-1,-1,-1,-1,-1,-1,12990(860)\#,10080(810)\#,5000(1300)\#,1140(820)\#,0.025(5)
103Zr,Zr,40,63,103,7213,417.9,0,1.380,0.001,0.001,1,-1,$\leq$1,-1,7213(10),417.9(96),,,1.380(72)
104Zr,Zr,40,64,104,6095.0,1233,0,0.920,1,0.001,1,-1,$\leq$1,-1,6095.0(97),1233(10),,,0.920(28)
105Zr,Zr,40,65,105,8451,2283,0,0.666,2,0.001,2,-1,$\leq$2,-1,8451(13),2283(12),,,0.666(28)
106Zr,Zr,40,66,106,7650,3290,0,0.175,7,0.001,7,-1,$\leq$7,-1,7650(430),3290(430),,,0.175(7)
107Zr,Zr,40,67,107,9300,3800,-600,0.150,23,0.001,23,-1,$\leq$23,-1,9300(1100),3800(1100),-600(1100),,0.150(3)
108Zr,Zr,40,68,108,8190,4300,0,0.0785,-1,0.001,-1,-1,-1,-1,8190(400)\#,4300(400)\#,,,0.0785(20)
109Zr,Zr,40,69,109,10500,5280,1390,0.056,-1,-1,-1,-1,-1,-1,10500(570)\#,5280(500)\#,1390(500)\#,,0.056(3)
110Zr,Zr,40,70,110,9400,5730,520,0.0375,-1,0,-1,0,-1,,9400(1000)\#,5730(650)\#,520(600)\#,,0.0375(20)
111Zr,Zr,40,71,111,11320,6700,2990,0.0240,-1,-1,-1,-1,-1,-1,11320(760)\#,6700(1100)\#,2990(750)\#,,0.0240(50)
112Zr,Zr,40,72,112,10460,6990,2400,0.030,-1,-1,-1,-1,-1,-1,10460(760)\#,6990(760)\#,2400(1100)\#,,0.030($^{+30}_{-10}$)
113Zr,Zr,40,73,113,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
103Nb,Nb,41,62,103,5932,466.1,0,1.36,0.001,0,-1,0,-1,,5932(10),466.1(92),,,1.36(7)
104Nb,Nb,41,63,104,8531.0,1070.3,0,4.9,0.06,0,0.06,0,0.06(3),,8531.0(93),1070.3(96),,,4.9(4)
105Nb,Nb,41,64,105,7421.6,2363.1,0,2.91,1.7,0,1.7,0,1.7(9),,7421.6(99),2363.1(98),,,2.91(7)
106Nb,Nb,41,65,106,9931,3062.5,0,1.013,4.5,0,4.5,0,4.5(3),,9931(10),3062.5(100),,,1.013(42)
107Nb,Nb,41,66,107,8828,4339,0,0.287,7.4,0,7.4,0,7.4(10),,8828(12),4339(12),,,0.287(11)
108Nb,Nb,41,67,108,11210,4934,446,0.192,6.3,0.001,6.3,-1,6.3(5),-1,11210(12),4934(12),446(12),,0.192(6)
109Nb,Nb,41,68,109,9980,5990,0,0.113,31,0,31,0,31(5),,9980(260),5990(260),,,0.113(11)
110Nb,Nb,41,69,110,12230,6280,2300,0.075,40,-1,40,-1,40(8)$^m$,-1,12230(840),6280(840),2300(840),,0.075(1)
111Nb,Nb,41,70,111,11060,7600,1650,0.054,-1,-1,-1,-1,-1,-1,11060(300)\#,7600(300)\#,1650(300)\#,,0.054(2)
112Nb,Nb,41,71,112,13190,7600,4130,0.038,-1,-1,-1,-1,-1,-1,13190(360)\#,7600(300)\#,4130(300)\#,,0.038(2)
113Nb,Nb,41,72,113,11980,8880,3290,0.032,-1,-1,-1,-1,-1,-1,11980(500)\#,8880(450)\#,3290(400)\#,-180(400)\#,0.032(4)
114Nb,Nb,41,73,114,14420,9030,5930,0.017,-1,-1,-1,-1,-1,-1,14420(590)\#,9030(590)\#,5930(540)\#,340(500)\#,0.017(5)
115Nb,Nb,41,74,115,13400,10380,4990,0.023,-1,-1,-1,-1,-1,-1,13400(640)\#,10380(590)\#,4990(590)\#,1900(540)\#,0.023(8)
116Nb,Nb,41,75,116,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
109Mo,Mo,42,67,109,7617,1185,0,0.692,1.3,0,1.3,0,1.3(6),,7617(15),1185(14),,,0.692(26)
110Mo,Mo,42,68,110,6492,1669,0,0.287,2,0,2,0,2.0(7),,6492(26),1669(26),,,0.287(10)
111Mo,Mo,42,69,111,9084.9,3023,0,0.186,12,0,12,0,$\leq$12,,9084.9(68),3023(15),,,0.186(9)
112Mo,Mo,42,70,112,7800,3490,0,0.125,-1,0,-1,0,-1,,7800(200)\#,3490(200)\#,,,0.125(5)
113Mo,Mo,42,71,113,10320,4700,390,0.080,-1,0,-1,0,-1,,10320(300)\#,4700(300)\#,390(300)\#,,0.080(2)
114Mo,Mo,42,72,114,8790,4930,0,0.058,-1,0,-1,0,-1,,8790(530)\#,4930(300)\#,,,0.058(2)
115Mo,Mo,42,73,115,11570,5780,1920,0.0455,-1,-1,-1,-1,-1,-1,11570(890)\#,5780(590)\#,1920(400)\#,,0.0455(20)
116Mo,Mo,42,74,116,9960,6750,960,0.032,-1,0.001,-1,-1,-1,-1,9960(580)\#,6750(940)\#,960(660)\#,,0.032(4)
117Mo,Mo,42,75,117,12210,7210,4010,0.022,-1,-1,-1,-1,-1,-1,12210(640)\#,7210(580)\#,4010(930)\#,,0.022(5)
118Mo,Mo,42,76,118,11160,7680,2680,0.019,-1,-1,-1,-1,-1,-1,11160(640)\#,7680(640)\#,2680(580)\#,-520(930)\#,0.019($^{+7}_{-4}$)
119Mo,Mo,42,77,119,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
109Tc,Tc,43,66,109,6456,1307,0,0.89,0.08,0,0.08,0,0.08(2),,6456(13),1307(12),,,0.89(7)
110Tc,Tc,43,67,110,9038,1633,0,0.911,0.04,0,0.04,0,0.04(2),,9038(13),1633(13),,,0.911(14)
111Tc,Tc,43,68,111,7761,2977,0,0.294,0.85,0,0.85,0,0.85(20),,7761(14),2977(13),,,0.294(20)
112Tc,Tc,43,69,112,10372,3455,0,0.305,1.7,0,1.7,0,1.7(4),,10372(11),3455(11),,,0.305(10)
113Tc,Tc,43,70,113,9057,4748,0,0.152,2.1,0,2.1,0,2.1(3),,9057(37),4748(10),,,0.152(8)
114Tc,Tc,43,71,114,11620,5200,890,0.090,1.3,0,1.3,0,1.3(4)$^m$,,11620(430),5200(430),890(430),,0.090(20)
115Tc,Tc,43,72,115,9870,5830,-590,0.078,-1,0.001,-1,-1,-1,-1,9870(790),5830(790),-590(790),,0.078(2)
116Tc,Tc,43,73,116,12610,6660,2620,0.057,-1,-1,-1,-1,-1,-1,12610(300)\#,6660(310)\#,2620(300)\#,,0.057(3)
117Tc,Tc,43,74,117,11110,7620,1670,0.0445,-1,-1,-1,-1,-1,-1,11110(590)\#,7620(400)\#,1670(410)\#,,0.0445(30)
118Tc,Tc,43,75,118,13470,7630,4140,0.030,-1,-1,-1,-1,-1,-1,13470(450)\#,7630(590)\#,4140(400)\#,,0.030(4)
119Tc,Tc,43,76,119,12190,8820,2980,0.022,-1,-1,-1,-1,-1,-1,12190(590)\#,8820(540)\#,2980(660)\#,,0.022(3)
120Tc,Tc,43,77,120,14490,8980,5600,0.021,-1,-1,-1,-1,-1,-1,14490(640)\#,8980(590)\#,5600(540)\#,-240(660)\#,0.021(5)
121Tc,Tc,43,78,121,13270,10160,4640,0.022,-1,-1,-1,-1,-1,-1,13270(640)\#,10160(640)\#,4640(580)\#,1270(540)\#,0.022(6)
122Tc,Tc,43,79,122,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
114Ru,Ru,44,70,114,5489,474.4,0,0.543,0.001,0,-1,0,-1,,5489(72),474.4(79),,,0.543(50)
115Ru,Ru,44,71,115,8040,1450,0,0.318,-1,0,-1,0,-1,,8040(89),1450(110),,,0.318(19)
116Ru,Ru,44,72,116,6667,2089.6,0,0.204,-1,0,-1,0,-1,,6667(74),2089.6(82),,,0.204(6)
117Ru,Ru,44,73,117,9410,3170,0,0.151,-1,0,-1,0,-1,,9410(430),3170(440),,,0.151(3)
118Ru,Ru,44,74,118,7630,3570,0,0.099,-1,0,-1,0,-1,,7630(200)\#,3570(200)\#,,,0.099(3)
119Ru,Ru,44,75,119,10260,4250,190,0.0695,-1,0,-1,0,-1,,10260(300)\#,4250(300)\#,190(300)\#,,0.0695(20)
120Ru,Ru,44,76,120,8800,4740,0,0.045,-1,0,-1,0,-1,,8800(450)\#,4740(400)\#,,,0.045(2)
121Ru,Ru,44,77,121,11200,5700,1630,0.029,-1,-1,-1,-1,-1,-1,11200(740)\#,5700(450)\#,1630(400)\#,,0.029(2)
122Ru,Ru,44,78,122,9930,6030,520,0.025,-1,0,-1,0,-1,,9930(580)\#,6030(800)\#,520(540)\#,,0.025(1)
123Ru,Ru,44,79,123,12280,6930,3030,0.019,-1,-1,-1,-1,-1,-1,12280(640)\#,6930(580)\#,3030(800)\#,,0.019(2)
124Ru,Ru,44,80,124,10930,7330,1980,0.015,-1,-1,-1,-1,-1,-1,10930(720)\#,7330(720)\#,1980(670)\#,,0.015(3)
125Ru,Ru,44,81,125,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,,-1
115Rh,Rh,45,70,115,6197,1190,0,1.03,-1,0,-1,0,-1,,6197(15),1190(10),,,1.03(3)
116Rh,Rh,45,71,116,9096,1619,0,0.69,2.1,0,2.1,0,$\leq$ 2.1$^m$,,9096(74),1619(75),,,0.69(5)
117Rh,Rh,45,72,117,7527,2863,0,0.42,7.6,0,7.6,0,$\leq$ 7.6,,7527(11),2863(11),,,0.42(4)
118Rh,Rh,45,73,118,10501,3466,0,0.285,3.1,0,3.1,0,3.1(14),,10501(24),3466(25),,,0.285(10)
119Rh,Rh,45,74,119,8585,4494.6,0,0.190,6.4,0,6.4,0,6.4(16),,8585(12),4494.6(96),,,0.190(6)
120Rh,Rh,45,75,120,11470,4520,430,0.131,5.4,0.001,5.4,-1,$\leq$ 5.4,-1,11470(200)\#,4520(200)\#,430(200)\#,,0.131(5)
121Rh,Rh,45,76,121,9930,5960,0,0.076,-1,0,-1,0,-1,,9930(620),5960(620),,,0.076(5)
122Rh,Rh,45,77,122,12540,6030,2060,0.051,-1,-1,-1,-1,-1,-1,12540(300)\#,6030(300)\#,2060(300)\#,,0.051(6)
123Rh,Rh,45,78,123,11070,7190,680,0.042,-1,0.001,-1,-1,-1,-1,11070(890)\#,7190(400)\#,680(400)\#,,0.042(4)
124Rh,Rh,45,79,124,13500,7470,3580,0.030,-1,-1,-1,-1,-1,-1,13500(500)\#,7470(890)\#,3580(400)\#,,0.030(2)
125Rh,Rh,45,80,125,12120,8320,2290,0.0265,-1,-1,-1,-1,-1,-1,12120(640)\#,8320(580)\#,2290(930)\#,,0.0265(20)
126Rh,Rh,45,81,126,14560,8750,4950,0.019,-1,-1,-1,-1,-1,-1,14560(640)\#,8750(640)\#,4950(580)\#,,0.019(3)
127Rh,Rh,45,82,127,13150,9760,3950,0.020,-1,-1,-1,-1,-1,-1,13150(780)\#,9760(720)\#,3950(720)\#,150(670)\#,0.020($^{+20}_{-7}$)
128Rh,Rh,45,83,128,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
119Pd,Pd,46,73,119,7238,74.6,0,0.92,0.001,0,-1,0,-1,,7238(17),74.6(86),,,0.92(11)
120Pd,Pd,46,74,120,5371.5,294,0,0.492,0.001,0,-1,0,-$^?$,,5371.5(50),294(15),,,0.492(33)
121Pd,Pd,46,75,121,8220,1397.9,0,0.290,-1,0,-1,0,-$^?$,,8220(13),1397.9(56),,,0.290(1)
122Pd,Pd,46,76,122,6490,1715,0,0.193,-1,0,-1,0,-$^?$,,6490(43),1715(23),,,0.193(6)
123Pd,Pd,46,77,123,9120,2610,0,0.108,10,0,10,0,10(6),,9120(790),2610(790),,,0.108(2)
124Pd,Pd,46,78,124,7810,3090,0,0.081,17,0,17,0,17(5),,7810(390)\#,3090(300)\#,,,0.081(17)
125Pd,Pd,46,79,125,10400,4010,0,0.060,12,0,12,0,12(4),,10400(590)\#,4010(470)\#,,,0.060(7)
126Pd,Pd,46,80,126,8820,4590,0,0.0486,22,0,22,0,22(9),,8820(450)\#,4590(590)\#,,,0.0486(8)
127Pd,Pd,46,81,127,11260,5430,1200,0.038,19,0,19,0,<19,,11260(540)\#,5430(540)\#,1200(660)\#,,0.038(2)
128Pd,Pd,46,82,128,10130,5880,50,0.035,-1,0,-1,0,-1,,10130(580)\#,5880(540)\#,50(540)\#,,0.035(3)
129Pd,Pd,46,83,129,14370,8940,4690,0.031,-1,0,-1,0,-1,,14370(720)\#,8940(670)\#,4690(630)\#,,0.031(7)
130Pd,Pd,46,84,130,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
131Pd,Pd,46,85,131,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
119Ag,Ag,47,72,119,5331,-15,0,0,0,0,0,0,,,5331(36),-15(25),,,
120Ag,Ag,47,73,120,8305.9,254,0,0.94,0.001,0,0.003,0,<0.003$^m$,,8305.9(58),254(38),,,0.94(10)
121Ag,Ag,47,74,121,6671,1483,0,0.777,0.08,0,0.08,0,0.080(13),,6671(12),1483(13),,,0.777(12)
122Ag,Ag,47,75,122,9506,1896,0,0.529,0.186,0,0.186,0,0.186(6)$^m$,,9506(38),1896(38),,,0.529(19)
123Ag,Ag,47,76,123,7866,2993,0,0.296,0.56,0,0.56,0,0.56(9),,7866(31),2993(31),,,0.296(7)
124Ag,Ag,47,77,124,10500,3140,0,0.191,1.3,0,1.3,0,1.3(9)$^m$,,10500(250),3140(250),,,0.191(28)
125Ag,Ag,47,78,125,8830,4110,0,0.160,11.8,0,11.8,0,11.8(10),,8830(430),4110(430),,,0.160(7)
126Ag,Ag,47,79,126,11580,4600,-120,0.052 ,-1,0,-1,0,-1,,11580(200)\#,4600(200)\#,-120(200)\#,,0.052 (10)
127Ag,Ag,47,80,127,10310,5750,0,0.084,14.6,0,14.6,0,14.6(15),,10310(200)\#,5750(200)\#,,,0.084(5)
128Ag,Ag,47,81,128,12620,6060,1490,0.060,20,-1,20,-1,20(5),-1,12620(300)\#,6060(300)\#,1490(300)\#,,0.060(5)
129Ag,Ag,47,82,129,11080,7190,620,0.050,20,0,20,0,<20,,11080(400)\#,7190(400)\#,620(400)\#,,0.050(4)
130Ag,Ag,47,83,130,15420,9290,5400,0.041,-1,-1,-1,-1,-1,-1,15420(500)\#,9290(500)\#,5400(500)\#,,0.041(5)
131Ag,Ag,47,84,131,14840,12670,6540,0.035,-1,0,-1,0,-1,,14840(510)\#,12670(500)\#,6540(500)\#,2650(500)\#,0.035(8)
132Ag,Ag,47,85,132,16470,13360,11180,0.028,-1,0,-1,0,-1,,16470(540)\#,13360(510)\#,11180(500)\#,5050(500)\#,0.028($^{+5}_{ -12}$)
126Cd,Cd,48,78,126,5516,149,0,0.514,0.001,0,-1,0,-1,,5516(27),149(27),,,0.514(9)
127Cd,Cd,48,79,127,8149,954,0,0.45,0.001,0,-1,0,-1,,8149(24),954(30),,,0.45($^{+12}_{ -8}$)
128Cd,Cd,48,80,128,6900,1583,0,0.2461,-1,0,-1,0,-1,,6900(150),1583(22),,,0.2461(21)
129Cd,Cd,48,81,129,9780,3020,0,0.151,-1,0,-1,0,obs.,,9780(17),3020(150),,,0.151(4)
130Cd,Cd,48,82,130,8766,3649,0,0.127,3.5,0,3.5,0,3.5(10),,8766(44),3649(23),,,0.127(2)
131Cd,Cd,48,83,131,12810,6590,1480,0.083,3.5,-1,3.5,-1,3.5(10),-1,12810(100),6590(110),1480(100),,0.083(15)
132Cd,Cd,48,84,132,12150,9690,3480,0.084,60,-1,60,-1,60(15),-1,12150(210)\#,9690(200)\#,3480(200)\#,,0.084(5)
133Cd,Cd,48,85,133,13540,10420,7960,0.064,-1,-1,-1,-1,obs.,-1,13540(360)\#,10420(300)\#,7960(300)\#,1750(300)\#,0.064(8)
134Cd,Cd,48,86,134,12740,10470,7350,0.065,-1,-1,-1,-1,-1,-1,12740(500)\#,10470(450)\#,7350(400)\#,4890(400)\#,0.065(15)
126In,In,49,77,126,8242,52,0,1.087,0.001,0,0.03,0,<0.03,,8242(27),52(27),,,1.087(11)
127In,In,49,78,127,6575,1048,0,0.84,0.0384,0,0.0384,0,0.0384(36)$^m$,,6575(19),1048(24),,,0.84(6)
128In,In,49,79,128,9220,1250,0,0.609,0.23,0,0.23,0,0.23(10),,9220(150),1250(150),,,0.609(7)
129In,In,49,80,129,7753,2453,0,0.275,1.2,0,1.2,0,1.20(29),,7753(17),2453(18),,,0.275(8)
130In,In,49,81,130,10249,2636,0,0.266,2.21,0,2.21,0,2.21(27)$^m$,,10249(38),2636(42),,,0.266(8)
131In,In,49,82,131,9239.5,4035.9,0,0.200,7.4,0.001,7.4,-1,7.4(14),-1,9239.5(45),4035.9(33),,,0.200(2)
132In,In,49,83,132,14135,6782,1578,0.162,74,-1,74,-1,74(5),-1,14135(60),6782(60),1578(60),,0.162(2)
133In,In,49,84,133,13410,11010,3660,0.167,80,0,80,0,80(5),,13410(200)\#,11010(200)\#,3660(200)\#,,0.167(11)
134In,In,49,85,134,14770,11140,8740,0.136,65,-1,65,-1,$sim$65,-1,14770(300)\#,11140(300)\#,8740(300)\#,1390(300)\#,0.136(5)
135In,In,49,86,135,14100,11830,8200,0.101,-1,-1,-1,-1,-1,-1,14100(400)\#,11830(400)\#,8200(400)\#,5800(400)\#,0.101(5)
136In,In,49,87,136,15390,12050,9780,0.085,-1,-1,-1,-1,-1,-1,15390(500)\#,12050(400)\#,9780(400)\#,6150(400)\#,0.085($^{+10}_{-8}$)
137In,In,49,88,137,14750,12790,9450,0.065,-1,-1,-1,-1,-1,-1,14750(640)\#,12790(580)\#,9450(500)\#,7180(500)\#,0.065($^{+40}_{-30}$)
133Sn,Sn,50,83,133,8049.6,690.1,0,1.42,0.001,0,0.0294,0,0.0294(24),,8049.6(37),690.1(31),,,1.42(6)
134Sn,Sn,50,84,134,7586.8,4418.4,0,0.899,17,0,17,0,17(13),,7586.8(36),4418.4(45),,,0.899(32)
135Sn,Sn,50,85,135,9058.1,5317.0,2148.6,0.516,21,-1,21,-1,21(3),-1,9058.1(41),5317.0(35),2148.6(44),,0.516(5)
136Sn,Sn,50,86,136,8610,5720,1980,0.345,27,-1,27,-1,27(4),-1,8610(300)\#,5720(300)\#,1980(300)\#,,0.345(15)
137Sn,Sn,50,87,137,10270,6650,3760,0.252,50,-1,50,-1,50(10),-1,10270(400)\#,6650(400)\#,3760(400)\#,20(400)\#,0.252(22)
138Sn,Sn,50,88,138,9400,7130,3500,0.140,-1,-1,-1,-1,-1,-1,9400(1200)\#,7130(510)\#,3500(500)\#,620(500)\#,0.140($^{+30}_{-20}$)
139Sn,Sn,50,89,139,11350,7700,5480,0.130,-1,-1,-1,-1,-1,-1,11350(640)\#,7700(1200)\#,5480(500)\#,1850(500)\#,0.130(60)
140Sn,Sn,50,90,140,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
134Sb,Sb,51,83,134,8513.2,845.3,0,0.675,0.001,0,-1,0,-1,,8513.2(32),845.3(27),,,0.675(6)
135Sb,Sb,51,84,135,8038.5,4772.1,0,1.668,20,0,20,0,20.0(29),,8038.5(32),4772.1(38),,,1.668(10)
136Sb,Sb,51,85,136,9918.4,5150.6,1884.2,0.923,24.9,0.14,24.9,0.14,24.9(73),0.14(3),9918.4(63),5150.6(61),1884.2(64),,0.923(14)
137Sb,Sb,51,86,137,9243,6294,1526,0.492,49,-1,49,-1,49(8),-1,9243(52),6294(52),1526(52),,0.492(25)
138Sb,Sb,51,87,138,11500,7000,4100,0.348,72,-1,72,-1,72(8),-1,11500(1100),7000(1100),4100(1100),-700(1100),0.348(15)
139Sb,Sb,51,88,139,10420,7840,3370,0.093,90,-1,90,-1,90(10),-1,10420(400)\#,7840(400)\#,3370(400)\#,420(400)\#,0.093($^{+14}_{-3}$)
140Sb,Sb,51,89,140,12640,8200,5610,0.173,23,7.6,23,7.6,23(4),7.6(25),12640(600)\#,8200(600)\#,5610(600)\#,1150(600)\#,0.173(12)
141Sb,Sb,51,90,141,11380,9400,4950,-1,-1,-1,-1,-1,-1,-1,11380(640)\#,9400(500)\#,4950(500)\#,2370(500)\#,-1
142Sb,Sb,51,91,142,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1,-1,-1,-1,-1,-1
136Te,Te,52,84,136,5120,1282.6,0,17.67,1.37,0,1.37,0,1.37(5),,5120(14),1282.6(31),,,17.67(9)
